Stroke Number,Time (secs),Distance (meters),Stroke Rate (s/m),500m Split (secs),Power (Watts),Heart Rate (bpm),Peak Force (Newtons),Average Drive Force (Newtons),Drive Length (meters),Drive Time (secs),% of Stroke Complete When Peak Force Is Reached,Impulse (Average force x Time) (N•s),Work Per Stroke (Joules),Stroke Speeed (m/s),Force Curve Data Points (Newtons)
35,85,342,24,123,186,0,564.73,373.65,1.36,0.74,48.78, 276.50,462,1.84,97.861 97.861 191.273 240.204 271.341 284.686 284.686 355.858 458.167 458.167 453.718 462.615 480.408 507.097 524.89 524.89 529.338 533.786 542.683 556.028 533.786 533.786 551.579 560.476 520.442 507.097 462.615 413.684 413.684 431.477 409.236 369.202 275.79 275.79 253.549 249.1 240.204 222.411 155.688 155.688 120.102 62.275 
36,88,352,24,123,184,0,578.18,382.55,1.39,0.75,54.76, 286.91,469,1.85,164.584 164.584 266.893 298.031 315.824 315.824 355.858 404.788 475.96 480.408 471.511 484.856 480.408 471.511 471.511 489.304 533.786 573.82 551.579 524.89 524.89 520.442 524.89 533.786 484.856 493.752 475.96 440.374 400.34 391.443 369.202 369.202 346.961 346.961 289.134 284.686 213.515 222.411 209.066 200.17 106.757 62.275 
37,91,363,24,124,184,0,555.77,387.00,1.36,0.74,40.48, 286.38,466,1.84,137.895 137.895 240.204 298.031 329.168 329.168 311.375 333.617 386.995 444.822 467.063 475.96 449.27 475.96 475.96 511.545 533.786 542.683 547.131 551.579 551.579 547.131 533.786 507.097 529.338 533.786 489.304 453.718 431.477 418.133 418.133 404.788 378.099 320.272 320.272 284.686 280.238 217.963 195.722 142.343 128.998 
38,93,373,24,124,190,0,546.80,373.65,1.36,0.73,46.34, 272.76,465,1.86,146.791 146.791 226.859 329.168 355.858 355.858 413.684 391.443 484.856 484.856 524.89 542.683 515.994 498.201 498.201 542.683 533.786 515.994 511.545 507.097 515.994 502.649 489.304 453.718 458.167 462.615 444.822 440.374 391.443 378.099 338.065 315.824 298.031 235.756 244.652 209.066 213.515 164.584 142.343 142.343 84.516 
39,96,383,23,124,184,0,600.59,387.00,1.36,0.74,26.83, 286.38,469,1.84,128.998 128.998 200.17 249.1 315.824 315.824 346.961 369.202 386.995 462.615 502.649 538.235 529.338 498.201 498.201 511.545 569.372 564.924 533.786 547.131 547.131 547.131 596.061 551.579 489.304 475.96 489.304 467.063 427.029 386.995 386.995 369.202 355.858 324.72 257.997 226.859 209.066 209.066 209.066 155.688 84.516 
40,98,393,23,124,186,0,623.00,409.24,1.33,0.72,53.66, 294.65,459,1.85,88.964 169.032 169.032 266.893 284.686 315.824 315.824 364.754 484.856 480.408 480.408 502.649 542.683 556.028 538.235 551.579 573.82 596.061 618.303 600.51 582.717 560.476 573.82 596.061 609.406 542.683 480.408 458.167 431.477 453.718 453.718 400.34 275.79 280.238 249.1 271.341 204.618 182.377 128.998 106.757 
41,100,403,24,123,190,0,546.80,369.20,1.30,0.7000000000000001,45.00, 258.44,469,1.86,142.343 182.377 182.377 257.997 315.824 369.202 369.202 373.65 400.34 458.167 458.167 475.96 515.994 493.752 524.89 511.545 515.994 542.683 529.338 538.235 538.235 524.89 511.545 484.856 484.856 444.822 449.27 386.995 382.547 338.065 346.961 311.375 249.1 217.963 182.377 169.032 173.481 133.447 133.447 102.309 
42,103,413,24,123,181,0,555.77,360.31,1.39,0.76,42.50, 273.83,454,1.83,142.343 217.963 217.963 240.204 284.686 311.375 311.375 355.858 418.133 431.477 431.477 471.511 489.304 493.752 502.649 502.649 507.097 529.338 551.579 547.131 529.338 529.338 498.201 471.511 480.408 484.856 462.615 431.477 386.995 351.409 382.547 382.547 364.754 293.583 262.445 235.756 244.652 244.652 222.411 160.136 88.964 66.723 
43,105,423,24,125,182,0,573.70,382.55,1.39,0.75,42.86, 286.91,452,1.85,133.447 209.066 209.066 311.375 315.824 333.617 333.617 369.202 480.408 484.856 484.856 498.201 515.994 511.545 507.097 507.097 533.786 551.579 569.372 564.924 551.579 556.028 556.028 538.235 529.338 507.097 444.822 440.374 386.995 413.684 391.443 382.547 333.617 306.927 271.341 271.341 253.549 222.411 209.066 173.481 97.861 97.861 
44,108,433,24,124,190,0,560.25,391.44,1.30,0.6900000000000001,42.86, 270.10,447,1.88,120.102 120.102 217.963 315.824 342.513 342.513 369.202 373.65 493.752 493.752 524.89 542.683 538.235 524.89 529.338 529.338 556.028 556.028 551.579 533.786 498.201 520.442 507.097 524.89 484.856 480.408 427.029 422.581 382.547 382.547 338.065 320.272 271.341 235.756 213.515 217.963 177.929 133.447 106.757 
