	HC25_Jrk_FB_2_ZT10	HC25_Jrk_FB_2_ZT14	HC25_Jrk_FB_2_ZT18	HC25_Jrk_FB_2_ZT2	HC25_Jrk_FB_2_ZT22	HC25_Jrk_FB_2_ZT6	HC25_Jrk_FB_ZT10	HC25_Jrk_FB_ZT14	HC25_Jrk_FB_ZT18	HC25_Jrk_FB_ZT2	HC25_Jrk_FB_ZT22	HC25_Jrk_FB_ZT6
FBgn0001142	84.42609	79.81627	81.14869	73.79034	66.09462	76.08984	75.9571	80.02769	65.72357	57.55222	50.7574	61.37353
FBgn0001145	268.7673782	194.6686	184.34167	152.618878	154.85612	173.576	189.0633738	205.3019	133.1725	118.9664458	80.0881231	255.1740138
FBgn0001147	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001148	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001149	521.4863	345.1357	444.4665	361.5891	348.3754	302.3218	499.5148	403.2605	420.0613	338.2528	356.4011	357.0379
FBgn0001150	0.315327	0	0.0999927	0.0918814	0	0.138989	0.0838941	0.0407789	0.168638	0.022982	0.0417561	0.142374
FBgn0001168	19.37599	15.17294	18.98687	18.43886	9.68139	22.42722	17.09234	30.80667	18.96932	15.18933	12.62479	26.30926
FBgn0001169	1.725690086	0.776153526	1.727366	1.155904	0.2694368	1.011630105	2.2316	3.3241267	1.456459	0.794025	0.773269045	1.652535
FBgn0001170	0	0	0	0	0	0	0	0	0	0.0248357	0	0
FBgn0001174	0	0	0	0.087089	0.198416	0	0	0.154608	0	0	0	0
FBgn0001179	5.0457	5.59543	6.56429	5.76471	4.93859004	4.878914957	9.26505	5.437680002	7.37694	5.35904	6.3675	5.403582
FBgn0001180	1.707636	0.456975	3.530213	1.578313	0.499434	0.674278	4.80356	1.92974	2.911118	0.876862	1.190615	1.237354
FBgn0001185	6.96899	5.010356	6.463802	6.6847	4.11266	5.612555	7.443527	6.80093	6.24075	4.60893	4.65749	5.53409
FBgn0001186	43.6673	25.20906	37.3863	34.22788	19.28088	32.23754	37.5602	50.7019	36.3299	23.43762	17.86695	32.6011
FBgn0001187	285.096	297.532	290.033	367.539	391.255	343.82	318.471	366.301	353.033	406.644	425.841	394.957
FBgn0001189	26.15111	22.86535	22.65639	26.46527	25.51812	26.34517	26.00603	25.69492	22.78133	23.77807	22.1935	26.27374
FBgn0001197	60.37753	34.40934	112.19224	50.78407	26.174646	27.07379	138.77368	61.31901	96.49415	45.37415	66.18169	46.05911
FBgn0001202	15.5821	13.9863	17.0553	15.6375	13.1649	13.6949	19.4446	16.8941	16.1053	15.2338	15.4911	15.2772
FBgn0001206	1.44117	1.18821	1.2304	2.14812	0.993538	0.977279	2.28582	1.46233	1.76503	1.20388	1.23313	1.33895
FBgn0001208	466.01416	490.12335	398.36432	554.83116	470.9876	598.11806	395.15885	478.81978	404.14976	547.77499	457.61956	435.78258
FBgn0001215	49.16117	32.88608	61.10664	49.456861	25.67163021	48.18846	66.93804	73.7521	61.03544	43.300027	40.23036065	55.09719835
FBgn0001216	1.974263	1.2141814	1.618659	1.6915798	1.5524722	1.43744	1.1883	1.100233	1.119468	1.5313654	1.7866006	1.647538
FBgn0001217	2.06986	1.56635	1.44081	1.78363	1.21491	1.81727	2.18263	2.25242	2.85642	2.0237	1.97214	2.84928
FBgn0001218	294.33053	219.07105	256.95933	175.01357	150.69243	188.559074	305.75398	344.54318	234.31137	164.79564	145.344923	325.30237
FBgn0001220	120.01706	99.4943	123.50674	100.42974	87.5916	93.6217	132.61071	133.42022	107.83649	91.13083	91.94408	122.35954
FBgn0001222	22.92360304	16.3517082	21.863949	22.79845867	15.554993	19.65932	26.50866	22.854993	22.6811374	19.779938	20.2640587	18.82008389
FBgn0001223	11.6692	1.82855	1.13067	0.931421	1.18353	0.562704	1.20735	1.904824	1.0623495	1.0227984	1.2924512	3.07345
FBgn0001224	4.80338	0.957966	1.09446	0.782193	1.14563	0.676127	0.816225	0.495934	0.40368	0.742604	1.06012	1.03889
FBgn0001225	33.2355	9.88077	54.5707	29.2347	15.6976	6.75533	94.0164	15.0348	66.3758	18.382742	27.83305	19.425
FBgn0001226	23.339712	5.508944	43.509175	20.77234	6.6451	2.941364	70.3454	9.21922	47.3514	10.889726	17.52247	10.912914
FBgn0001227	0.259991	0.366664	0.669867	0.355112	0.0539372	0.190996	1.03757	0.714481	0.555915	0.213175	0.301248	0.256788
FBgn0001228	1.36897	3.289262	1.733422	2.553026	0	2.787288	1.454352	4.417024	0.2411215	1.5296904	1.0770812	4.19582
FBgn0001229	0.253062	0.237928	0.20062	0.184346	0	0.650672	0	0.409083	0.249739	0.322769	0.251331	0.571303
