	HC25_Jrk_FB_2_ZT10	HC25_Jrk_FB_2_ZT14	HC25_Jrk_FB_2_ZT18	HC25_Jrk_FB_2_ZT2	HC25_Jrk_FB_2_ZT22	HC25_Jrk_FB_2_ZT6	HC25_Jrk_FB_ZT10	HC25_Jrk_FB_ZT14	HC25_Jrk_FB_ZT18	HC25_Jrk_FB_ZT2	HC25_Jrk_FB_ZT22	HC25_Jrk_FB_ZT6
FBgn0042119	898	926	865	2269.998	879	1102	968	1066	1102	2121.002	1099	948
FBgn0042125	158.607	77.3817	142.121	307.308	104.638	136.135	198.785	179.845	193.597	229.609	124.025	212.301
FBgn0042126	2	1	1	6	0	2	2	2	0	3	2	1
FBgn0042127	28.3931	50.6183	58.8787	113.692	34.3617	48.8647	65.2155	68.1546	63.4029	129.391	60.9748	69.6992
FBgn0042129	60	53	79	222	94	123	87	98	104	264	158	135
FBgn0042131	0	1	0	0	0	2	0	0	0	1	0	1
FBgn0042132	94.43200004	73.3576083	143.6165	264.2229	91.350965	98.5899	201.9724	196.8842	153.5696414	243.2926	135.5904803	182.9555
FBgn0042133	0	0	1	3	1	1	0	0	1	0	0	0
FBgn0042134	781.0003	586	1792.997	2139.002	514.9996	664.0003	2822.999	1727.998	1912.997	1711.997	1246.9985	1305.002
FBgn0042135	922.9989	767.0007	906.9996	2330.9999	482.9998	1150	1009.001	1994.9983	955.0007	1658.9998	669.9999	1593.9991
FBgn0042137	0	1	0	1	0	4	1	4	0	2	0	4
FBgn0042138	1757.001	1648.0019	2086.9946	4705.0008	1997.0011	2223.9976	2295.0009	2963.0024	2440.9978	4225.0035	2198.9969	2953.9979
FBgn0042146	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0042173	16.7123	4.29147	84.9994	170.427	67.0898	47.8661	180.327	104.611	95.9477	180.436	89.2034	120.726
FBgn0042175	1236.897	1529.512	1726.593	4519.48	1519.416	2561.996	1882.53	1782.418	1745.69	3816.75	1794.841	2120.424
FBgn0042177	1069.6565	920.1313	1880.7741	3252.517	844.1238	1228.701	3146.354	1961.571	1891.93	3424.062	2292.102	1799.707
FBgn0042178	229.3443128	246.8689328	429.2300003	841.4790002	266.8763048	298.2990006	817.646	340.4317	472.0706001	790.933	541.902	450.29
FBgn0042179	7	1	1	1	0	2	4	0	2	6	6	3
FBgn0042180	115.00014	70.99997	220	297.99971	67	75.00001	365.99971	160.99957	227.99971	249.0003	172.99971	135.0003
FBgn0042182	28.1913	23.1311	26.7612	74.5457	16.3217	29.957	21.1435	37.7116	43.595	80.2633	37.6457	40.2347
