	HC25_FB_2_ZT10	HC25_FB_2_ZT12	HC25_FB_2_ZT14	HC25_FB_2_ZT16	HC25_FB_2_ZT18	HC25_FB_2_ZT2	HC25_FB_2_ZT20	HC25_FB_2_ZT22	HC25_FB_2_ZT24	HC25_FB_2_ZT4	HC25_FB_2_ZT6	HC25_FB_2_ZT8	HC25_FB_ZT10	HC25_FB_ZT12	HC25_FB_ZT14	HC25_FB_ZT16	HC25_FB_ZT18	HC25_FB_ZT2	HC25_FB_ZT20	HC25_FB_ZT22	HC25_FB_ZT24	HC25_FB_ZT4	HC25_FB_ZT6	HC25_FB_ZT8
FBgn0052473	38.03827	23.563645	59.3078	24.97605	31.719949	36.8267	24.03878	35.3343	39.3719	31.6686	37.847531	37.005	34.16146	40.1206	42.043239	50.977435	23.380954	52.512969	34.64186	25.582879	51.414	70.7716	40.82204	29.47432
FBgn0052475	3.98581	4.00474	4.62989	5.38104	5.39107	4.69572	5.45938	4.63867	4.16733	5.08006	5.00949	4.73238	6.30587	6.29258	5.43673	4.27802	9.51003	4.35693	8.70001	6.68861	6.36755	4.79397	6.54402	6.14482
FBgn0052476	5.42593	6.41547	7.15398	7.88202	5.66418	6.83026	7.55661	6.84179	7.5359	8.53269	6.32269	5.40478	11.9931	14.3335	15.7381	11.6275	16.4768	10.8437	12.5805	15.5965	12.9032	12.5919	20.645	12.2941
FBgn0052479	10.55153	4.6305202	9.725066	7.43271	7.8701	7.830913	5.395522	6.88543725	8.047509	8.005677	8.459923	7.11643	7.862354	8.024774	7.470377	9.991741445	7.086799	12.78258	5.747433	7.476158	10.290132	23.09479	10.762427	5.906702
FBgn0052483	0.0741693	0	2.41622	6.47803	0.169325	0.175561	0.137335	0.0754637	0.365222	0.0775371	0.635977	0.217916	7.79759	0.194271	25.3211	0.101066	35.2043	0.550558	0.0976709	0.451472	14.3138	0.218897	10.4769	0.27824
FBgn0052484	16.7791	12.8913	18.0778	17.0367	15.222	14.7613	13.2619	15.0964	13.4398	13.826	14.2933	16.5763	10.2334	9.45197	10.8694	11.7814	7.52507	17.4725	8.00853	9.58912	13.7935	14.056	8.36365	9.25398
FBgn0052485	15.17	11.4762	15.5221	19.7838	14.537	12.5111	9.88328	17.1497	10.4902	11.7472	13.891	14.0315	16.6714	13.9806	20.1708	18.8848	20.274	21.2006	14.1811	13.68	14.8565	15.7528	15.7661	16.1593
FBgn0052487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0052488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0052495	34.33657	34.19679	36.43431	32.585469	35.622855	35.18875	31.93539	38.613011	33.06155	31.79221018	34.858196	34.5886	31.77638	24.700356	29.21782	27.794205	27.03242	32.8007637	22.6065	33.71595	34.90032	24.376577	27.72658	28.01605
FBgn0052499	0.859723	2.95804	2.47123	1.43254	1.55862	2.1547	2.01328	1.80091	3.11281	1.32171	0.867274	1.63443	0.543317	1.19216	0.822144	0.758026	1.19317	0.750789	0.799157	1.23134	0.718511	1.1194	1.15452	1.07506
FBgn0052506	0.031223	0.0541286	0.0931012	0.0458742	0.0443656	0.0596816	0.0836611	0.0828629	0	0.0406319	0.0166636	0.122899	0.158766	0	0.0665308	0.147912	0.026971	0.0911348	0.052488	0.095028	0.0867783	0.0460744	0.0277283	0.024301
FBgn0052507	0	0	0	0	0	0	0	0	0	0	0	0	0.0834355	0	0	0	0	0	0	0	0	0	0	0
